movie_id,movie_name,genre
90,Set It Off,Crime
90,Set It Off,Drama
90,Set It Off,Romance
90,Set It Off,Thriller
91,Shine,Biography
91,Shine,Drama
91,Shine,Music
91,Shine,Romance
92,The Truth About Cats & Dogs,Comedy
92,The Truth About Cats & Dogs,Romance
93,A Thin Line Between Love and Hate,Comedy
93,A Thin Line Between Love and Hate,Crime
93,A Thin Line Between Love and Hate,Drama
93,A Thin Line Between Love and Hate,Romance
93,A Thin Line Between Love and Hate,Thriller
94,Muppet Treasure Island,Action
94,Muppet Treasure Island,Adventure
94,Muppet Treasure Island,Comedy
94,Muppet Treasure Island,Family
94,Muppet Treasure Island,Musical
95,Matilda,Comedy
95,Matilda,Fantasy
96,The Long Kiss Goodnight,Action
96,The Long Kiss Goodnight,Crime
96,The Long Kiss Goodnight,Drama
96,The Long Kiss Goodnight,Mystery
96,The Long Kiss Goodnight,Thriller
97,Striptease,Comedy
97,Striptease,Crime
97,Striptease,Drama
97,Striptease,Thriller
98,Daylight,Action
98,Daylight,Adventure
98,Daylight,Drama
98,Daylight,Thriller
99,Homeward Bound II: Lost in San Francisco,Adventure
99,Homeward Bound II: Lost in San Francisco,Comedy
99,Homeward Bound II: Lost in San Francisco,Family
99,Homeward Bound II: Lost in San Francisco,Romance
100,Black Sheep,Comedy
101,Titanic,Drama
101,Titanic,Romance
102,Men in Black,Comedy
102,Men in Black,Sci-Fi
103,The Lost World: Jurassic Park,Action
103,The Lost World: Jurassic Park,Adventure
103,The Lost World: Jurassic Park,Sci-Fi
104,Liar Liar,Comedy
104,Liar Liar,Fantasy
105,Air Force One,Action
105,Air Force One,Adventure
105,Air Force One,Drama
105,Air Force One,Thriller
106,As Good as It Gets,Comedy
106,As Good as It Gets,Drama
106,As Good as It Gets,Romance
107,Good Will Hunting,Drama
108,Star Wars (Special Edition),Action
108,Star Wars (Special Edition),Adventure
108,Star Wars (Special Edition),Fantasy
108,Star Wars (Special Edition),Sci-Fi
109,My Best Friend's Wedding,Comedy
109,My Best Friend's Wedding,Romance
110,Tomorrow Never Dies,Action
110,Tomorrow Never Dies,Adventure
110,Tomorrow Never Dies,Thriller
111,Face/Off,Action
111,Face/Off,Crime
111,Face/Off,Sci-Fi
111,Face/Off,Thriller
112,Batman and Robin,Action
113,George of the Jungle,Action
113,George of the Jungle,Adventure
113,George of the Jungle,Comedy
113,George of the Jungle,Family
113,George of the Jungle,Romance
114,Scream 2,Horror
114,Scream 2,Mystery
115,Con Air,Action
115,Con Air,Crime
115,Con Air,Thriller
116,Contact,Drama
116,Contact,Mystery
116,Contact,Sci-Fi
116,Contact,Thriller
117,Hercules,Animation
117,Hercules,Adventure
117,Hercules,Comedy
117,Hercules,Family
117,Hercules,Fantasy
117,Hercules,Musical
117,Hercules,Romance
118,Flubber,Comedy
118,Flubber,Family
118,Flubber,Sci-Fi
119,Conspiracy Theory,Action
119,Conspiracy Theory,Crime
119,Conspiracy Theory,Mystery
119,Conspiracy Theory,Romance
119,Conspiracy Theory,Thriller
120,I Know What You Did Last Summer,Horror
120,I Know What You Did Last Summer,Mystery
120,I Know What You Did Last Summer,Thriller
121,The Empire Strikes Back (Special Edition),Action
121,The Empire Strikes Back (Special Edition),Adventure
121,The Empire Strikes Back (Special Edition),Fantasy
121,The Empire Strikes Back (Special Edition),Sci-Fi
122,Dante's Peak,Action
122,Dante's Peak,Adventure
122,Dante's Peak,Thriller
123,Anaconda,Action
123,Anaconda,Adventure
123,Anaconda,Horror
123,Anaconda,Thriller
