movie_id,movie_name,role,order,name,imdb_id,img,gender,races,note,reference_url,voice,img_movie
15,The Twilight Saga: Breaking Dawn Part 2,cast,3,Taylor Lautner,1210124,http://s3.amazonaws.com/brianfoo_art/hollywood/1210124.jpg,m,w,"Austrian, English, German, Swiss-German, French, Irish, and Dutch",http://www.imdb.com/name/nm1210124/bio,0,http://images6.fanpop.com/image/photos/32700000/New-THE-TWILIGHT-SAGA-BREAKING-DAWN-PART-2-Stills-twilight-series-32789001-1280-1920.jpg
15,The Twilight Saga: Breaking Dawn Part 2,cast,4,Peter Facinelli,4906,http://s3.amazonaws.com/brianfoo_art/hollywood/4906.jpg,m,w,Italian,http://www.imdb.com/name/nm0004906/bio,0,http://api.ning.com/files/KWUsedCZ733QzH-lO8iOUYXipjpA36Z5EMGe*F7AkWyJUF*aKzQkorLDbjaY5dKlNNx5W1MoOujiSNfqmrVZZlSex1Oiu4gP/drcarlisle.jpg
15,The Twilight Saga: Breaking Dawn Part 2,cast,5,Elizabeth Reaser,714147,http://s3.amazonaws.com/brianfoo_art/hollywood/714147.jpg,f,w,"German, Swedish, English, Irish, and Scottish",http://www.imdb.com/name/nm0714147/bio,0,http://cdn.collider.com/wp-content/uploads/twilight-breaking-dawn-part-2-elizabeth-reaser.jpg
16,The Hobbit: An Unexpected Journey,cast,1,Ian McKellen,5212,http://s3.amazonaws.com/brianfoo_art/hollywood/5212.jpg,m,w,"Scottish, Northern Irish, and English",http://www.imdb.com/name/nm0005212/bio,0,http://3.bp.blogspot.com/-daA2fOMXlJ4/UMCd2o0QINI/AAAAAAAACMs/MQB6lLneEsE/s1600/HBT-031339r.jpg
16,The Hobbit: An Unexpected Journey,cast,2,Martin Freeman,293509,http://s3.amazonaws.com/brianfoo_art/hollywood/293509.jpg,m,w,English and Irish,http://www.imdb.com/name/nm0293509/bio,0,http://www.heyuguys.com/images/2012/11/Martin-Freeman-in-The-Hobbit-An-Unexpected-Journey-1.jpg
16,The Hobbit: An Unexpected Journey,cast,3,Richard Armitage,35514,http://s3.amazonaws.com/brianfoo_art/hollywood/35514.jpg,m,w,,,0,http://cdn.collider.com/wp-content/uploads/richard-armitage-the-hobbit.jpg
16,The Hobbit: An Unexpected Journey,cast,4,Ken Stott,832792,http://s3.amazonaws.com/brianfoo_art/hollywood/832792.jpg,m,w,His father was Scottish and his mother was Sicilian,http://www.imdb.com/name/nm0832792/bio,0,http://cdn.collider.com/wp-content/uploads/the-hobbit-an-unexpected-journey-dwarves2.jpg
16,The Hobbit: An Unexpected Journey,cast,5,Graham McTavish,574615,http://s3.amazonaws.com/brianfoo_art/hollywood/574615.jpg,m,w,Scottish,http://www.imdb.com/name/nm0574615/bio,0,http://www.aceshowbiz.com/images/still/the-hobbit-warner-bros02.jpg
17,Skyfall,cast,1,Daniel Craig,185819,http://s3.amazonaws.com/brianfoo_art/hollywood/185819.jpg,m,w,"English, as well as Welsh, Scottish, and Irish",http://www.imdb.com/name/nm0185819/bio,0,http://cdn.collider.com/wp-content/uploads/james-bond-skyfall-daniel-craig-2.jpg
17,Skyfall,cast,2,Judi Dench,1132,http://s3.amazonaws.com/brianfoo_art/hollywood/1132.jpg,f,w,Irish,https://en.wikipedia.org/wiki/Category:British_people_of_Irish_descent,0,http://www.filmofilia.com/wp-content/uploads/2012/04/Skyfall_08.jpg
